City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
574,Hervey Bay,AU,-25.2986,152.8535,78.24,37,100,7.29,overcast clouds
575,Guaraniacu,BR,-25.1008,-52.8781,61.95,94,0,2.24,clear sky
576,Palauig,PH,15.435,119.9045,84.06,65,100,2.24,overcast clouds
577,Turkistan,KZ,43.0,68.0,34.07,43,91,7.05,overcast clouds
578,Yashkino,RU,55.8736,85.4265,-17.0,100,80,1.54,broken clouds
579,Zhigalovo,RU,54.8097,105.1578,-5.42,89,100,10.51,overcast clouds
580,Winchester,GB,51.0651,-1.3187,30.49,88,73,3.44,broken clouds
581,Tefe,BR,-3.3542,-64.7114,74.37,95,91,2.66,overcast clouds
582,Mahon,ES,39.8885,4.2658,63.16,94,100,14.97,overcast clouds
583,Skibbereen,IE,51.55,-9.2667,36.1,71,1,12.17,clear sky
584,Kirakira,SB,-10.4544,161.9205,84.07,72,19,5.53,few clouds
585,Gat,IL,31.61,34.7642,63.39,70,18,3.6,few clouds
586,Urucui,BR,-7.2294,-44.5561,79.05,62,100,1.54,overcast clouds
587,Los Algarrobos,PA,8.5,-82.4333,77.41,89,20,6.91,few clouds
588,Puerto Escondido,MX,15.85,-97.0667,81.43,65,75,6.91,broken clouds
589,Bitung,ID,1.4451,125.1824,77.85,89,100,3.53,overcast clouds
590,Waipawa,NZ,-41.4122,175.5153,58.6,96,100,8.08,light rain
591,Mao,ES,39.8885,4.2658,63.16,94,100,14.97,overcast clouds
592,Miri,MY,4.4148,114.0089,79.16,89,40,5.75,scattered clouds
593,Tessalit,ML,20.1986,1.0114,69.73,18,0,8.21,clear sky
594,Karanja,IN,20.4833,77.4833,69.01,59,100,5.37,overcast clouds
595,Adolfo Lopez Mateos,MX,28.4667,-107.3,37.71,28,0,9.6,clear sky
596,Quchan,IR,37.106,58.5095,39.22,61,1,0.63,clear sky
597,Hami,CN,42.8,93.45,19.38,51,13,7.47,few clouds
598,Sola,VU,-13.8833,167.55,81.73,67,18,10.29,few clouds
599,Taraz,KZ,42.9,71.3667,21.61,79,100,2.24,overcast clouds
600,Vagur,FO,61.4732,-6.8119,36.37,63,100,24.47,light rain
601,Ginir,ET,7.1333,40.7,56.12,56,53,3.02,broken clouds
602,Kingisepp,RU,59.3733,28.6134,21.69,87,100,13.98,overcast clouds
603,Pa Daet,TH,19.5049,99.9924,61.86,98,6,1.19,clear sky
604,Tabou,CI,4.423,-7.3528,78.55,82,32,6.42,scattered clouds
605,Edmonton,CA,53.5501,-113.4687,22.01,87,0,4.61,clear sky
606,Zabid,YE,14.1951,43.3152,71.71,77,75,1.05,broken clouds
607,Udachnyy,RU,66.4167,112.4,-35.43,100,70,3.58,broken clouds
608,Muzhi,RU,65.3667,64.6667,6.39,86,76,6.93,broken clouds
609,Srednekolymsk,RU,67.45,153.6833,-47.9,100,57,3.27,broken clouds
610,Khandyga,RU,62.6667,135.6,-62.23,100,81,0.51,broken clouds
611,Shirokiy,RU,49.758,129.523,-18.51,90,100,10.47,overcast clouds
612,West Wendover,US,40.7391,-114.0733,34.81,51,75,3.44,broken clouds
613,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.32,89,100,3.42,overcast clouds
614,Harsova,RO,44.6833,27.9333,43.9,79,100,12.1,overcast clouds
615,Agde,FR,43.3108,3.4758,50.95,100,100,11.5,overcast clouds
616,Ruteng,ID,-8.6136,120.4721,71.51,71,99,0.25,overcast clouds
617,Tsuruoka,JP,38.7217,139.8217,35.64,87,75,14.97,light shower snow
618,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,23.7,93,8,7.16,clear sky
619,Lusambo,CD,-4.9667,23.45,64.62,99,100,1.23,overcast clouds
620,Langxiang,CN,46.95,128.8833,-8.37,80,21,6.02,few clouds
621,Kununurra,AU,-15.7667,128.7333,85.98,62,40,8.05,scattered clouds
622,Viedma,AR,-40.8135,-62.9967,64.53,48,98,8.08,overcast clouds
623,Kaputa,ZM,-8.4689,29.6619,65.93,94,100,2.71,moderate rain
624,Grand Bank,CA,47.0999,-55.765,33.8,95,100,9.4,light snow
625,North Platte,US,41.1239,-100.7654,26.49,73,100,26.46,overcast clouds
626,Tombouctou,ML,20.0,-3.0,71.42,16,0,6.91,clear sky
627,Amahai,ID,-3.3333,128.9167,83.35,72,100,2.51,overcast clouds
628,Koppang,NO,61.5706,11.0555,13.5,90,100,4.29,light snow
629,Guanay,BO,-15.4975,-67.8797,72.66,99,100,0.45,overcast clouds
630,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.69,26,0,7.14,clear sky
631,Buchanan,LR,5.8808,-10.0467,78.53,83,85,5.44,overcast clouds
632,Bakchar,RU,57.0186,82.0711,-9.99,96,99,4.0,overcast clouds
633,Sompeta,IN,18.9333,84.6,71.64,76,7,2.89,clear sky
634,Maumere,ID,-8.6199,122.2111,82.76,74,100,7.4,overcast clouds
635,Raudeberg,NO,61.9875,5.1352,31.87,8,100,8.3,light snow
636,Vestmannaeyjar,IS,63.4427,-20.2734,30.9,91,100,13.47,light snow
637,Ust-Kulom,RU,61.6864,53.6902,19.2,82,100,10.58,overcast clouds
638,Isiro,CD,2.7739,27.616,64.13,99,57,2.26,broken clouds
639,Lakota,CI,5.8528,-5.6883,72.03,96,12,2.62,few clouds
640,Lingao,CN,19.9103,109.6859,64.04,77,90,9.73,overcast clouds
641,Mount Darwin,ZW,-16.7725,31.5838,66.85,84,100,2.89,overcast clouds
642,Ada,US,43.4166,-116.1262,28.29,94,100,9.22,mist
643,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,71,40,21.83,scattered clouds
644,Zavodoukovsk,RU,56.5042,66.5515,0.82,83,9,8.41,clear sky
645,Umm Kaddadah,SD,13.6017,26.6876,63.36,24,6,13.18,clear sky
646,Fare,PF,-16.7,-151.0167,79.92,77,100,17.85,light rain
647,Eirunepe,BR,-6.6603,-69.8736,74.55,94,100,2.35,overcast clouds
648,Hlotse,LS,-28.8718,28.045,58.46,81,4,3.4,clear sky
649,Antsohihy,MG,-14.8796,47.9875,73.81,84,6,3.42,clear sky
650,Esna,EG,25.2934,32.554,59.02,53,0,6.29,clear sky
651,Puerto Madryn,AR,-42.7692,-65.0385,61.61,60,20,9.93,few clouds
652,Esfarayen,IR,37.0765,57.5101,29.86,59,5,1.68,clear sky
653,Nyurba,RU,63.2842,118.3319,-41.04,100,100,2.89,overcast clouds
654,Nortelandia,BR,-14.4547,-56.8028,73.35,97,100,4.05,moderate rain
655,Carutapera,BR,-1.195,-46.02,77.0,85,92,6.11,overcast clouds
656,Kuching,MY,1.55,110.3333,79.03,94,20,2.3,mist
657,Canto Do Buriti,BR,-8.11,-42.9444,81.52,49,100,4.61,overcast clouds
658,Shemgang,BT,27.2169,90.6579,45.5,96,99,0.81,overcast clouds
659,Haapsalu,EE,58.9431,23.5414,32.99,92,96,11.43,light snow
660,Vagamo,NO,61.8751,9.0967,14.54,90,99,7.45,overcast clouds
661,Baykit,RU,61.67,96.37,-30.12,100,94,2.1,overcast clouds
662,Kosh-Agach,RU,50.0,88.6667,-21.91,96,55,3.96,broken clouds
663,Kahului,US,20.8947,-156.47,84.22,63,20,14.97,few clouds
664,Eyl,SO,7.9803,49.8164,71.44,70,4,11.1,clear sky
665,Pomoryany,UA,49.6409,24.9307,27.21,89,100,16.44,overcast clouds
666,Flinders,AU,-34.5833,150.8552,72.18,43,11,8.99,few clouds
667,Senanga,ZM,-16.1167,23.2667,67.89,90,100,3.51,overcast clouds
668,Porto Santo,PT,33.072,-16.3415,62.98,77,40,23.02,scattered clouds
669,Birjand,IR,32.8663,59.2211,37.87,60,0,4.61,clear sky
670,Lumsden,CA,50.6501,-104.8678,10.0,94,100,9.57,overcast clouds
671,Mayo,US,38.8876,-76.5119,40.12,65,0,5.75,clear sky
672,Neiafu,TO,-18.65,-173.9833,83.08,83,40,5.75,scattered clouds
673,Shingu,JP,33.7333,135.9833,45.64,44,0,7.07,clear sky
674,Namtsy,RU,62.7161,129.6658,-55.73,99,58,2.95,broken clouds
675,Marau,BR,-28.4492,-52.2,62.24,61,0,4.79,clear sky
676,Bardiyah,LY,31.7561,25.0865,64.47,65,7,10.31,clear sky
677,Jijiga,ET,9.35,42.8,58.28,53,10,5.3,clear sky
