City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Presidencia Roque Saenz Pena,AR,78.69,clear sky,-26.7852,-60.4388,Hotel Gualok
631,Buchanan,LR,78.53,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
633,Sompeta,IN,71.64,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
639,Lakota,CI,72.03,few clouds,5.8528,-5.6883,Aziz bah divers
641,Mount Darwin,ZW,66.85,overcast clouds,-16.7725,31.5838,
646,Fare,PF,79.92,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
647,Eirunepe,BR,74.55,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
649,Antsohihy,MG,73.81,clear sky,-14.8796,47.9875,Hotel de Ville
654,Nortelandia,BR,73.35,moderate rain,-14.4547,-56.8028,Pousada e Restaurante Santana
655,Carutapera,BR,77.0,overcast clouds,-1.195,-46.02,Lidera
656,Kuching,MY,79.03,mist,1.55,110.3333,Hilton Kuching
664,Eyl,SO,71.44,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
666,Flinders,AU,72.18,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
667,Senanga,ZM,67.89,overcast clouds,-16.1167,23.2667,Zango lodge
